date,tmo
2023-08-10,15240.0
2023-08-11,15211.25
2023-08-14,15050.25
2023-08-15,15320.0
2023-08-16,15121.75
2023-08-17,14947.0
2023-08-18,14762.0
2023-08-21,14763.5
2023-08-22,14974.25
2023-08-23,15011.25
2023-08-24,15383.5
2023-08-25,14835.5
2023-08-28,14980.5
2023-08-29,15112.0
2023-08-30,15455.75
2023-08-31,15511.5
2023-09-01,15547.5
2023-09-04,15533.75
2023-09-05,15499.75
2023-09-06,15502.0
2023-09-07,15386.0
2023-09-08,15288.0
2023-09-11,15320.5
2023-09-12,15669.0
2023-09-13,15478.5
2023-09-14,15623.5
2023-09-15,15710.25
2023-09-18,15411.25
2023-09-19,15408.25
2023-09-20,15350.0
2023-09-21,15095.75
2023-09-22,14896.0
2023-09-25,14921.5
2023-09-26,14874.75
2023-09-27,14738.75
2023-09-28,14740.25
2023-09-29,14885.25
2023-10-02,14975.75
2023-10-03,14984.25
2023-10-04,14657.25
2023-10-05,14937.75
2023-10-06,14863.25
2023-10-09,14981.5
2023-10-10,15215.5
2023-10-11,15297.25
2023-10-12,15424.75
2023-10-13,15328.0
2023-10-16,15163.25
2023-10-17,15274.5
2023-10-18,15216.75
2023-10-19,14995.75
2023-10-20,14847.5
2023-10-23,14689.75
2023-10-24,14755.0
2023-10-25,14786.0
2023-10-26,14321.25
2023-10-27,14306.5
2023-10-30,14341.0
2023-10-31,14344.5
2023-11-01,14470.0
2023-11-02,14805.25
2023-11-03,14957.25
2023-11-06,15179.25
2023-11-07,15205.5
2023-11-08,15358.5
2023-11-09,15372.0
2023-11-10,15248.0
2023-11-13,15513.75
2023-11-14,15572.25
2023-11-15,15921.5
2023-11-16,15850.75
2023-11-17,15893.75
2023-11-20,15854.25
2023-11-21,16109.25
2023-11-22,15971.5
2023-11-23,16049.0
2023-11-24,16061.25
2023-11-27,15947.25
2023-11-28,15997.5
2023-11-29,16075.25
2023-11-30,16055.25
2023-12-01,15955.5
2023-12-04,15981.0
2023-12-05,15827.75
