timestamp,type,hour_c0,c0_o,c0_h,c0_l,c0_c,c1_o,c1_h,c1_l,c1_c,c2_o,c2_h,c2_l,c2_c,swept_mid,swept_first,swept_open,potential_stop_loss,potential_reward_excursion,hit_target,hit_stop_loss,reward_achieved,risk_taken
2025-04-22 07:05:00,bullish,7.0,18089.25,18093.5,18058.5,18068.5,18068.0,18071.25,18050.75,18064.25,18065.0,18068.25,18055.25,18062.5,False,False,False,18050.75,31.0,False,True,0.0,11.75
2025-04-22 07:20:00,bearish,7.0,18063.5,18082.5,18063.5,18080.75,18080.5,18088.0,18074.25,18078.25,18079.0,18092.5,18072.0,18073.5,True,False,False,18088.0,10.0,True,False,10.0,14.5
2025-04-22 07:35:00,bullish,7.0,18072.75,18076.75,18058.0,18061.5,18061.0,18065.75,18057.25,18064.5,18065.0,18078.0,18061.0,18077.5,True,True,True,18057.25,-0.75,True,False,-0.75,20.25
2025-04-22 10:25:00,bullish,10.0,18294.75,18296.25,18256.5,18279.75,18279.25,18286.0,18244.0,18285.75,18285.25,18314.5,18273.0,18313.0,True,True,True,18244.0,-16.75,True,False,-16.75,69.0
2025-04-22 11:25:00,bullish,11.0,18374.0,18374.25,18349.25,18351.5,18351.75,18358.25,18337.5,18355.25,18354.25,18358.5,18323.75,18326.75,True,False,False,18337.5,47.5,False,True,0.0,10.75
2025-04-22 12:20:00,bearish,12.0,18463.5,18499.75,18460.5,18496.75,18496.5,18514.0,18484.0,18494.75,18495.5,18506.5,18475.5,18481.5,True,False,False,18514.0,21.0,True,False,21.0,32.5
2025-04-22 12:35:00,bullish,12.0,18481.75,18487.5,18466.0,18466.75,18467.25,18472.75,18438.5,18471.5,18471.25,18478.75,18447.75,18461.75,True,False,False,18438.5,25.75,False,True,0.0,23.25
2025-04-22 12:45:00,bullish,12.0,18471.25,18478.75,18447.75,18461.75,18462.0,18464.25,18422.0,18454.0,18454.0,18465.25,18446.25,18450.5,True,False,False,18422.0,28.25,True,False,28.25,28.5
2025-04-22 14:50:00,bearish,14.0,18371.25,18397.75,18371.25,18388.25,18388.25,18399.75,18382.5,18382.75,18383.0,18396.0,18370.5,18389.25,True,True,True,18399.75,18.0,True,False,18.0,10.5
2025-04-22 16:05:00,bullish,16.0,18386.75,18388.25,18353.5,18364.75,18363.25,18372.25,18345.0,18357.5,18357.5,18372.0,18350.25,18353.25,False,False,False,18345.0,35.0,True,False,35.0,8.25
2025-04-22 16:25:00,bearish,16.0,18359.0,18372.0,18355.25,18371.0,18372.0,18382.0,18365.75,18367.5,18367.5,18379.75,18363.5,18375.0,True,False,False,18382.0,19.75,True,False,19.75,7.0
2025-04-22 18:05:00,bullish,18.0,18744.25,18749.0,18661.75,18663.25,18664.5,18689.5,18644.0,18687.25,18688.0,18692.75,18670.75,18683.25,True,False,False,18644.0,65.75,True,False,65.75,39.25
2025-04-22 18:30:00,bullish,18.0,18723.25,18727.75,18694.5,18699.75,18700.5,18707.25,18679.75,18705.25,18706.0,18733.75,18702.25,18733.0,True,True,True,18679.75,-5.25,True,False,-5.25,53.25
