timestamp,type,hour_c0,prev_1d_cat,c0_o,c0_h,c0_l,c0_c,c1_o,c1_h,c1_l,c1_c,c2_o,c2_h,c2_l,c2_c,swept_mid,swept_first,swept_open,potential_stop_loss,potential_reward_excursion,hit_target,hit_stop_loss,reward_achieved,risk_taken
2024-11-22 09:00:00,bullish,9.0,Not Analyzed,20806.75,20808.5,20693.75,20757.0,20758.25,20759.75,20693.25,20741.0,20741.25,20774.5,20721.0,20771.0,True,False,False,77.75,102.0,True,False,35.75,77.75
2024-11-25 00:00:00,bearish,0.0,Not Analyzed,20935.75,20956.5,20934.75,20954.5,20954.5,20968.0,20950.0,20952.5,20953.25,20964.5,20952.75,20959.5,False,False,False,8.5,9.25,False,True,0.0,8.5
2024-11-26 03:00:00,bearish,3.0,Not Analyzed,20871.75,20907.75,20865.25,20894.75,20894.25,20913.75,20886.25,20901.5,20901.0,20909.25,20870.25,20882.25,True,False,True,31.5,30.25,True,True,0.0,31.5
2024-11-27 04:00:00,bullish,4.0,Not Analyzed,20983.5,20985.25,20958.0,20966.25,20966.75,20971.5,20952.25,20958.5,20959.5,20978.0,20957.5,20969.5,True,False,False,17.25,20.5,True,True,0.0,17.25
2024-11-27 18:00:00,bearish,18.0,Not Analyzed,20742.5,20818.5,20735.5,20810.25,20810.5,20826.25,20790.25,20804.0,20804.25,20829.75,20769.25,20816.25,True,False,False,10.0,18.5,False,True,0.0,10.0
2024-11-29 05:00:00,bullish,5.0,Not Analyzed,20932.25,20935.75,20900.25,20902.25,20902.0,20912.75,20891.0,20906.0,20905.75,20907.0,20865.5,20881.25,False,False,False,0.0,28.75,False,True,0.0,9.75
2024-11-29 08:00:00,bearish,8.0,Not Analyzed,20881.75,20905.25,20879.5,20900.75,20900.25,20910.0,20894.0,20897.0,20897.25,20909.0,20880.5,20895.75,True,False,True,14.25,90.25,True,True,0.0,14.25
2024-11-29 16:00:00,bearish,16.0,Not Analyzed,20954.5,21006.5,20954.5,20996.5,20996.5,21017.5,20979.5,20990.75,20990.5,20995.25,20980.25,20991.25,False,False,False,26.25,49.5,True,False,36.75,26.25
2024-12-02 14:00:00,bearish,14.0,Not Analyzed,21026.75,21170.0,21024.25,21151.25,21152.25,21204.5,21141.0,21156.25,21156.25,21238.75,21152.5,21229.5,False,False,False,0.0,53.25,False,True,0.0,25.0
2024-12-02 16:00:00,bearish,16.0,Not Analyzed,21156.25,21238.75,21152.5,21229.5,21229.5,21259.75,21225.25,21228.0,21227.75,21233.5,21194.5,21212.75,True,False,False,47.0,36.5,False,False,0.0,0.0
2024-12-03 03:00:00,bearish,3.0,Not Analyzed,21218.0,21238.0,21218.0,21230.25,21231.0,21239.75,21224.5,21225.0,21224.75,21234.0,21221.75,21231.25,True,False,False,8.5,29.0,True,True,0.0,8.5
2024-12-04 21:00:00,bullish,21.0,Not Analyzed,21537.25,21538.75,21508.75,21517.0,21513.25,21523.75,21504.5,21510.75,21510.0,21510.75,21495.5,21497.5,False,False,False,0.0,23.25,False,True,0.0,7.0
2024-12-05 01:00:00,bearish,1.0,Not Analyzed,21497.25,21520.0,21495.5,21513.75,21514.0,21520.75,21507.0,21508.5,21509.0,21518.0,21507.5,21515.5,False,False,False,5.25,26.5,True,False,18.25,5.25
2024-12-05 18:00:00,bullish,18.0,Not Analyzed,21560.25,21560.75,21481.5,21493.25,21493.75,21517.0,21474.0,21493.75,21493.25,21511.0,21459.0,21475.5,False,False,False,1.5,6.25,False,True,0.0,1.5
2024-12-05 21:00:00,bullish,21.0,Not Analyzed,21475.5,21476.5,21437.5,21453.25,21450.0,21458.5,21424.75,21455.25,21455.75,21458.5,21442.25,21455.0,True,False,False,30.25,26.75,True,False,20.5,30.25
2024-12-09 15:00:00,bullish,15.0,Not Analyzed,21623.25,21631.5,21503.25,21507.75,21507.75,21528.0,21436.0,21510.25,21510.0,21524.5,21485.75,21487.75,False,False,False,51.75,62.0,False,False,0.0,0.0
2024-12-09 19:00:00,bullish,19.0,Not Analyzed,21530.0,21530.25,21444.25,21476.25,21476.25,21491.0,21441.25,21485.75,21485.25,21487.75,21463.5,21473.25,False,False,False,32.0,11.75,False,False,0.0,0.0
2024-12-10 19:00:00,bullish,19.0,Not Analyzed,21453.5,21460.0,21400.0,21411.25,21411.25,21413.0,21352.75,21408.0,21408.25,21438.25,21407.5,21434.75,True,False,False,82.0,7.25,False,False,0.0,0.0
2024-12-10 23:00:00,bullish,23.0,Not Analyzed,21436.0,21442.0,21417.25,21428.75,21428.0,21429.25,21408.0,21422.5,21423.0,21436.0,21419.25,21429.25,True,False,True,21.25,18.75,True,False,6.75,21.25
2024-12-11 14:00:00,bearish,14.0,Not Analyzed,21528.5,21697.0,21526.25,21695.5,21696.0,21736.25,21672.75,21696.75,21696.5,21770.0,21690.5,21760.25,False,False,False,0.0,10.0,False,True,0.0,24.0
