timestamp,type,hour_c0,c0_o,c0_h,c0_l,c0_c,c1_o,c1_h,c1_l,c1_c,c2_o,c2_h,c2_l,c2_c,swept_mid,swept_first,swept_open,potential_stop_loss,potential_reward_excursion,hit_reward_target,hit_stop_loss,reward_achieved,risk_taken
2025-04-25 14:00:00,bearish,14.0,19428.75,19502.0,19414.25,19487.25,19487.75,19528.5,19478.75,19500.5,19500.5,19528.25,19480.25,19488.0,False,False,False,40.5,85.75,False,True,0.0,40.5
2025-04-27 18:30:00,bullish,18.0,19509.0,19511.0,19450.0,19460.5,19459.75,19468.25,19435.25,19461.0,19462.25,19475.0,19448.5,19454.75,True,False,False,19.5,16.75,False,True,0.0,19.5
2025-04-27 22:30:00,bullish,22.0,19445.0,19448.0,19406.0,19417.5,19417.75,19422.25,19396.75,19410.25,19410.25,19414.0,19395.25,19404.25,False,False,False,7.5,113.75,True,False,40.75,7.5
2025-04-28 08:30:00,bearish,8.0,19513.5,19550.0,19511.5,19540.0,19540.0,19569.5,19531.25,19547.75,19548.25,19623.0,19453.75,19465.25,True,True,True,104.25,208.0,True,False,48.25,104.25
2025-04-28 16:00:00,bullish,16.0,19524.25,19526.75,19478.5,19482.25,19482.25,19491.0,19475.25,19483.75,19478.25,19490.25,19455.5,19468.5,False,False,False,0.0,162.5,False,True,0.0,6.75
2025-04-28 20:30:00,bearish,20.0,19502.5,19561.0,19502.25,19555.0,19554.0,19567.75,19544.5,19554.25,19553.25,19600.0,19551.75,19594.25,False,False,False,0.0,68.75,False,True,0.0,26.5
2025-04-29 02:00:00,bearish,2.0,19531.5,19552.75,19525.5,19543.75,19543.25,19565.5,19540.75,19542.75,19543.5,19595.0,19532.75,19592.25,True,False,False,0.0,145.0,False,True,0.0,26.75
2025-04-29 16:00:00,bullish,16.0,19645.0,19668.5,19612.25,19613.5,19612.75,19623.75,19567.25,19614.25,19599.75,19611.75,19572.0,19581.5,False,False,False,14.25,6.5,False,True,0.0,14.25
2025-04-30 08:30:00,bullish,8.0,19447.25,19504.25,19257.5,19286.25,19285.5,19307.5,19232.0,19301.75,19301.25,19304.5,19106.0,19121.25,False,False,False,0.0,460.75,False,True,0.0,110.75
2025-05-01 03:00:00,bearish,3.0,19922.5,19958.25,19901.25,19954.75,19955.25,19976.5,19948.5,19956.25,19955.75,19971.25,19931.5,19960.75,True,False,False,15.75,22.5,False,True,0.0,15.75
2025-05-01 06:00:00,bullish,6.0,20017.0,20027.5,19999.25,20004.25,20003.25,20006.0,19983.0,20001.5,20001.75,20026.5,19980.5,19990.5,True,False,True,7.5,135.25,True,False,26.5,7.5
2025-05-01 11:30:00,bullish,11.0,20078.75,20083.75,19933.0,19962.0,19963.0,19999.5,19910.0,19968.5,19968.25,19992.75,19922.75,19942.75,False,False,False,32.75,106.5,False,True,0.0,32.75
2025-05-01 14:00:00,bearish,14.0,19982.0,20044.75,19976.5,20017.75,20018.0,20049.25,20005.5,20009.0,20009.0,20022.25,19970.0,20017.0,True,True,True,32.25,267.5,True,False,35.0,32.25
2025-05-01 16:30:00,bullish,16.0,19838.25,19875.0,19768.75,19799.0,19782.5,19797.25,19749.5,19787.25,19787.0,19797.0,19773.5,19788.5,False,False,False,39.0,198.5,True,False,49.75,39.0
2025-05-01 20:30:00,bearish,20.0,19865.5,19968.75,19861.5,19943.25,19942.0,19981.25,19915.25,19950.0,19950.0,19971.0,19920.0,19928.5,False,False,False,52.75,45.5,False,True,0.0,52.75
2025-05-01 22:30:00,bearish,22.0,19944.25,19972.75,19930.25,19959.0,19959.0,19975.0,19952.5,19967.0,19966.25,19987.0,19962.75,19978.0,False,False,False,0.0,111.25,False,True,0.0,3.0
2025-05-02 08:30:00,bearish,8.0,19945.0,20105.5,19934.25,20095.25,20095.75,20141.25,20079.75,20091.5,20091.0,20125.0,20019.75,20073.0,True,False,False,68.25,11.0,False,True,0.0,68.25
2025-05-02 12:00:00,bearish,12.0,20197.0,20259.0,20192.0,20223.5,20224.0,20266.0,20221.0,20241.75,20242.0,20254.5,20196.25,20210.75,True,False,True,55.25,114.75,False,True,0.0,55.25
2025-05-04 22:00:00,bearish,22.0,20003.75,20045.0,19995.25,20040.5,20040.75,20050.25,20027.5,20035.25,20035.25,20048.75,20021.75,20028.0,True,False,False,22.25,11.0,False,True,0.0,22.25
