time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close)
1620331200,13596.75,13611.5,13592,13605.75,13596.5,13611.5,13592,13605.75
1620338400,13614.5,13621.25,13607,13608.25,13605.75,13621.25,13607,13608.25
1620342000,13608.25,13618.75,13605.75,13612.25,13608.25,13618.75,13605.75,13612.25
1620345600,13612.25,13642.25,13603,13640.5,13612.25,13642.25,13603,13640.5
1620349200,13640.75,13656,13640,13653.75,13640.5,13656,13640,13653.75
1620352800,13654.25,13661,13626,13636,13653.75,13661,13626,13636
1620356400,13635.5,13639.5,13626.5,13631,13636,13639.5,13626.5,13631
1620360000,13631,13645.75,13621.5,13642.75,13631,13645.75,13621.5,13642.75
1620363600,13642.5,13642.5,13623.75,13629.25,13642.75,13642.5,13623.75,13629.25
1620367200,13629.25,13634,13607.75,13613.75,13629.25,13634,13607.75,13613.75
1620370800,13613.25,13624.75,13588.25,13603.5,13613.75,13624.75,13588.25,13603.5
1620374400,13603,13626.25,13598.25,13621.75,13603.5,13626.25,13598.25,13621.75
1620378000,13621.75,13634.5,13610.5,13633.5,13621.75,13634.5,13610.5,13633.5
1620381600,13633.5,13648.75,13626.75,13640.5,13633.5,13648.75,13626.75,13640.5
1620385200,13640.5,13642.5,13625.5,13631.75,13640.5,13642.5,13625.5,13631.75
1620388800,13631.5,13818,13617.25,13767.75,13631.75,13818,13617.25,13767.75
1620392400,13767.75,13785,13661.5,13723.25,13767.75,13785,13661.5,13723.25
1620396000,13723.5,13810.5,13698.75,13771,13723.25,13810.5,13698.75,13771
1620399600,13771,13801.5,13764.25,13789.75,13771,13801.5,13764.25,13789.75
1620403200,13790,13791.25,13718.5,13739.75,13789.75,13791.25,13718.5,13739.75
1620406800,13740,13741.25,13681,13681.5,13739.75,13741.25,13681,13681.5
1620410400,13681.25,13724.5,13662.25,13719.75,13681.5,13724.5,13662.25,13719.75
1620414000,13720,13747.75,13702.25,13706.5,13719.75,13747.75,13702.25,13706.5
1620417600,13706.75,13724.25,13705.25,13715.5,13706.5,13724.25,13705.25,13715.5
1620597600,13718,13742,13711,13737,13715.5,13742,13711,13737
1620601200,13737,13746,13730.25,13739,13737,13746,13730.25,13739
1620604800,13738.75,13745.25,13726,13740.25,13739,13745.25,13726,13740.25
1620608400,13740,13752,13729.25,13742,13740.25,13752,13729.25,13742
1620612000,13743,13748,13737.75,13741,13742,13748,13737.75,13741
1620615600,13741.25,13744,13723,13726,13741,13744,13723,13726
1620619200,13725.75,13735,13716.75,13722.25,13726,13735,13716.75,13722.25
1620622800,13721.75,13722.25,13705.75,13720.25,13722.25,13722.25,13705.75,13720.25
1620626400,13720.75,13725.5,13653.75,13678,13720.25,13725.5,13653.75,13678
1620630000,13677.5,13683,13636.5,13666.75,13678,13683,13636.5,13666.75
1620633600,13667.25,13689.5,13655.5,13660.25,13666.75,13689.5,13655.5,13660.25
1620637200,13659.25,13684.75,13656,13672.75,13660.25,13684.75,13656,13672.75
1620640800,13673,13676.75,13650.25,13670.75,13672.75,13676.75,13650.25,13670.75
1620644400,13671.25,13679.5,13642.5,13647.5,13670.75,13679.5,13642.5,13647.5
1620648000,13647.75,13681.25,13641,13664.25,13647.5,13681.25,13641,13664.25
1620651600,13663.75,13670.25,13513.25,13536.25,13664.25,13670.25,13513.25,13536.25
1620655200,13536.25,13554.75,13458,13483.5,13536.25,13554.75,13458,13483.5
1620658800,13483.25,13520.5,13453.25,13518,13483.5,13520.5,13453.25,13518
